title,genres,director,overview,text_stopword,text_clean
Avatar,"['Action', 'Adventure', 'Fantasy']",James Cameron,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","['22nd', 'century', 'paraplegic', 'marine', 'dispatch', 'moon', 'pandora', 'unique', 'mission', 'become', 'torn', 'follow', 'order', 'protect', 'alien', 'civilization']",22nd century paraplegic marine dispatch moon pandora unique mission become torn follow order protect alien civilization
Pirates of the Caribbean: At World's End,"['Adventure', 'Fantasy', 'Action']",Gore Verbinski,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","['captain', 'barbossa', 'long', 'believe', 'dead', 'come', 'back', 'life', 'head', 'edge', 'earth', 'turner', 'elizabeth', 'swann', 'nothing', 'quite', 'seem']",captain barbossa long believe dead come back life head edge earth turner elizabeth swann nothing quite seem
Spectre,"['Action', 'Adventure', 'Crime']",Sam Mendes,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","['cryptic', 'message', 'bond', 'past', 'sends', 'trail', 'uncover', 'sinister', 'organization', 'battle', 'political', 'force', 'keep', 'secret', 'service', 'alive', 'bond', 'peel', 'back', 'layer', 'deceit', 'reveal', 'terrible', 'truth', 'behind', 'spectre']",cryptic message bond past sends trail uncover sinister organization battle political force keep secret service alive bond peel back layer deceit reveal terrible truth behind spectre
The Dark Knight Rises,"['Action', 'Crime', 'Drama']",Christopher Nolan,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.","['follow', 'death', 'district', 'attorney', 'harvey', 'dent', 'batman', 'assume', 'responsibility', 'dent', 'crime', 'protect', 'late', 'attorney', 'reputation', 'subsequently', 'hunt', 'gotham', 'city', 'police', 'department', 'eight', 'year', 'late', 'batman', 'encounter', 'mysterious', 'selina', 'kyle', 'villainous', 'bane', 'new', 'terrorist', 'leader', 'overwhelm', 'gothams', 'finest', 'dark', 'knight', 'resurfaces', 'protect', 'city', 'brand', 'enemy']",follow death district attorney harvey dent batman assume responsibility dent crime protect late attorney reputation subsequently hunt gotham city police department eight year late batman encounter mysterious selina kyle villainous bane new terrorist leader overwhelm gothams finest dark knight resurfaces protect city brand enemy
John Carter,"['Action', 'Adventure', 'Science Fiction']",Andrew Stanton,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","['john', 'carter', 'warweary', 'former', 'military', 'captain', 'inexplicably', 'transport', 'mysterious', 'exotic', 'planet', 'barsoom', 'mar', 'reluctantly', 'become', 'embroil', 'epic', 'conflict', 'world', 'brink', 'collapse', 'carter', 'rediscovers', 'humanity', 'realize', 'survival', 'barsoom', 'people', 'rest', 'hand']",john carter warweary former military captain inexplicably transport mysterious exotic planet barsoom mar reluctantly become embroil epic conflict world brink collapse carter rediscovers humanity realize survival barsoom people rest hand
Spider-Man 3,"['Fantasy', 'Action', 'Adventure']",Sam Raimi,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","['seemingly', 'invincible', 'spiderman', 'go', 'allnew', 'crop', 'villain', 'include', 'shapeshifting', 'sandman', 'spiderman', 'superpower', 'alter', 'alien', 'organism', 'alter', 'ego', 'peter', 'parker', 'deal', 'nemesis', 'eddie', 'brock', 'also', 'get', 'catch', 'love', 'triangle']",seemingly invincible spiderman allnew crop villain include shapeshifting sandman spiderman superpower alter alien organism alter ego peter parker deal nemesis eddie brock also get catch love triangle
Tangled,"['Animation', 'Family']",Byron Howard,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.","['kingdom', 'wantedand', 'charmingbandit', 'flynn', 'rider', 'hide', 'mysterious', 'tower', 'take', 'hostage', 'rapunzel', 'beautiful', 'feisty', 'towerbound', 'teen', '70', 'foot', 'magical', 'golden', 'hair', 'flynns', 'curious', 'captor', 'look', 'ticket', 'tower', 'shes', 'lock', 'away', 'year', 'strike', 'deal', 'handsome', 'thief', 'unlikely', 'duo', 'set', 'actionpacked', 'escapade', 'complete', 'supercop', 'horse', 'overprotective', 'chameleon', 'gruff', 'gang', 'pub', 'thug']",kingdom wantedand charmingbandit flynn rider hide mysterious tower take hostage rapunzel beautiful feisty towerbound teen foot magical golden hair flynns curious captor look ticket tower shes lock away year strike deal handsome thief unlikely duo set actionpacked escapade complete supercop horse overprotective chameleon gruff gang pub thug
Avengers: Age of Ultron,"['Action', 'Adventure', 'Science Fiction']",Joss Whedon,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","['tony', 'stark', 'try', 'jumpstart', 'dormant', 'peacekeeping', 'program', 'thing', 'go', 'awry', 'earth', 'mighty', 'hero', 'put', 'ultimate', 'test', 'fate', 'planet', 'hang', 'balance', 'villainous', 'ultron', 'emerge', 'avenger', 'stop', 'enact', 'terrible', 'plan', 'soon', 'uneasy', 'alliance', 'unexpected', 'action', 'pave', 'way', 'epic', 'unique', 'global', 'adventure']",tony stark try jumpstart dormant peacekeeping program thing awry earth mighty hero put ultimate test fate planet hang balance villainous ultron emerge avenger stop enact terrible plan soon uneasy alliance unexpected action pave way epic unique global adventure
Harry Potter and the Half-Blood Prince,"['Adventure', 'Fantasy', 'Family']",David Yates,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.","['harry', 'begin', 'sixth', 'year', 'hogwarts', 'discover', 'old', 'book', 'mark', 'property', 'halfblood', 'prince', 'begin', 'learn', 'lord', 'voldemorts', 'dark', 'past']",harry begin sixth year hogwarts discover old book mark property halfblood prince begin learn lord voldemorts dark past
Batman v Superman: Dawn of Justice,"['Action', 'Adventure', 'Fantasy']",Zack Snyder,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.","['fear', 'action', 'godlike', 'super', 'hero', 'leave', 'unchecked', 'gotham', 'city', 'formidable', 'forceful', 'vigilante', 'take', 'metropolis', 'revered', 'modernday', 'savior', 'world', 'wrestle', 'sort', 'hero', 'really', 'need', 'batman', 'superman', 'war', 'one', 'another', 'new', 'threat', 'quickly', 'arise', 'put', 'mankind', 'great', 'danger', 'ever', 'know']",fear action godlike super hero leave unchecked gotham city formidable forceful vigilante take metropolis revered modernday savior world wrestle sort hero really need batman superman war one another new threat quickly arise put mankind great danger ever know
